year,series,base_slug,problems_url,pdf_url,status
2000,10,2000_AMC_10,https://artofproblemsolving.com/wiki/index.php/2000_AMC_10_Problems,,problems_page_missing
2000,10A,2000_AMC_10A,https://artofproblemsolving.com/wiki/index.php/2000_AMC_10A_Problems,,problems_page_missing
2000,10B,2000_AMC_10B,https://artofproblemsolving.com/wiki/index.php/2000_AMC_10B_Problems,,problems_page_missing
2001,10,2001_AMC_10,https://artofproblemsolving.com/wiki/index.php/2001_AMC_10_Problems,,problems_page_missing
2001,10A,2001_AMC_10A,https://artofproblemsolving.com/wiki/index.php/2001_AMC_10A_Problems,,problems_page_missing
2001,10B,2001_AMC_10B,https://artofproblemsolving.com/wiki/index.php/2001_AMC_10B_Problems,,problems_page_missing
2002,10,2002_AMC_10,https://artofproblemsolving.com/wiki/index.php/2002_AMC_10_Problems,,problems_page_missing
2002,10A,2002_AMC_10A,https://artofproblemsolving.com/wiki/index.php/2002_AMC_10A_Problems,,problems_page_missing
2002,10B,2002_AMC_10B,https://artofproblemsolving.com/wiki/index.php/2002_AMC_10B_Problems,,problems_page_missing
2003,10,2003_AMC_10,https://artofproblemsolving.com/wiki/index.php/2003_AMC_10_Problems,,problems_page_missing
2003,10A,2003_AMC_10A,https://artofproblemsolving.com/wiki/index.php/2003_AMC_10A_Problems,,problems_page_missing
2003,10B,2003_AMC_10B,https://artofproblemsolving.com/wiki/index.php/2003_AMC_10B_Problems,,problems_page_missing
2004,10,2004_AMC_10,https://artofproblemsolving.com/wiki/index.php/2004_AMC_10_Problems,,problems_page_missing
2004,10A,2004_AMC_10A,https://artofproblemsolving.com/wiki/index.php/2004_AMC_10A_Problems,,problems_page_missing
2004,10B,2004_AMC_10B,https://artofproblemsolving.com/wiki/index.php/2004_AMC_10B_Problems,,problems_page_missing
2005,10,2005_AMC_10,https://artofproblemsolving.com/wiki/index.php/2005_AMC_10_Problems,,problems_page_missing
2005,10A,2005_AMC_10A,https://artofproblemsolving.com/wiki/index.php/2005_AMC_10A_Problems,,problems_page_missing
2005,10B,2005_AMC_10B,https://artofproblemsolving.com/wiki/index.php/2005_AMC_10B_Problems,,problems_page_missing
2006,10,2006_AMC_10,https://artofproblemsolving.com/wiki/index.php/2006_AMC_10_Problems,,problems_page_missing
2006,10A,2006_AMC_10A,https://artofproblemsolving.com/wiki/index.php/2006_AMC_10A_Problems,,problems_page_missing
2006,10B,2006_AMC_10B,https://artofproblemsolving.com/wiki/index.php/2006_AMC_10B_Problems,,problems_page_missing
2007,10,2007_AMC_10,https://artofproblemsolving.com/wiki/index.php/2007_AMC_10_Problems,,problems_page_missing
2007,10A,2007_AMC_10A,https://artofproblemsolving.com/wiki/index.php/2007_AMC_10A_Problems,,problems_page_missing
2007,10B,2007_AMC_10B,https://artofproblemsolving.com/wiki/index.php/2007_AMC_10B_Problems,,problems_page_missing
2008,10,2008_AMC_10,https://artofproblemsolving.com/wiki/index.php/2008_AMC_10_Problems,,problems_page_missing
2008,10A,2008_AMC_10A,https://artofproblemsolving.com/wiki/index.php/2008_AMC_10A_Problems,,problems_page_missing
2008,10B,2008_AMC_10B,https://artofproblemsolving.com/wiki/index.php/2008_AMC_10B_Problems,,problems_page_missing
2009,10,2009_AMC_10,https://artofproblemsolving.com/wiki/index.php/2009_AMC_10_Problems,,problems_page_missing
2009,10A,2009_AMC_10A,https://artofproblemsolving.com/wiki/index.php/2009_AMC_10A_Problems,,problems_page_missing
2009,10B,2009_AMC_10B,https://artofproblemsolving.com/wiki/index.php/2009_AMC_10B_Problems,,problems_page_missing
2010,10,2010_AMC_10,https://artofproblemsolving.com/wiki/index.php/2010_AMC_10_Problems,,problems_page_missing
2010,10A,2010_AMC_10A,https://artofproblemsolving.com/wiki/index.php/2010_AMC_10A_Problems,,problems_page_missing
2010,10B,2010_AMC_10B,https://artofproblemsolving.com/wiki/index.php/2010_AMC_10B_Problems,,problems_page_missing
2011,10,2011_AMC_10,https://artofproblemsolving.com/wiki/index.php/2011_AMC_10_Problems,,problems_page_missing
2011,10A,2011_AMC_10A,https://artofproblemsolving.com/wiki/index.php/2011_AMC_10A_Problems,,problems_page_missing
2011,10B,2011_AMC_10B,https://artofproblemsolving.com/wiki/index.php/2011_AMC_10B_Problems,,problems_page_missing
2012,10,2012_AMC_10,https://artofproblemsolving.com/wiki/index.php/2012_AMC_10_Problems,,problems_page_missing
2012,10A,2012_AMC_10A,https://artofproblemsolving.com/wiki/index.php/2012_AMC_10A_Problems,,problems_page_missing
2012,10B,2012_AMC_10B,https://artofproblemsolving.com/wiki/index.php/2012_AMC_10B_Problems,,problems_page_missing
2013,10,2013_AMC_10,https://artofproblemsolving.com/wiki/index.php/2013_AMC_10_Problems,,problems_page_missing
2013,10A,2013_AMC_10A,https://artofproblemsolving.com/wiki/index.php/2013_AMC_10A_Problems,,problems_page_missing
2013,10B,2013_AMC_10B,https://artofproblemsolving.com/wiki/index.php/2013_AMC_10B_Problems,,problems_page_missing
2014,10,2014_AMC_10,https://artofproblemsolving.com/wiki/index.php/2014_AMC_10_Problems,,problems_page_missing
2014,10A,2014_AMC_10A,https://artofproblemsolving.com/wiki/index.php/2014_AMC_10A_Problems,,problems_page_missing
2014,10B,2014_AMC_10B,https://artofproblemsolving.com/wiki/index.php/2014_AMC_10B_Problems,,problems_page_missing
2015,10,2015_AMC_10,https://artofproblemsolving.com/wiki/index.php/2015_AMC_10_Problems,,problems_page_missing
2015,10A,2015_AMC_10A,https://artofproblemsolving.com/wiki/index.php/2015_AMC_10A_Problems,,problems_page_missing
2015,10B,2015_AMC_10B,https://artofproblemsolving.com/wiki/index.php/2015_AMC_10B_Problems,,problems_page_missing
2016,10,2016_AMC_10,https://artofproblemsolving.com/wiki/index.php/2016_AMC_10_Problems,,problems_page_missing
2016,10A,2016_AMC_10A,https://artofproblemsolving.com/wiki/index.php/2016_AMC_10A_Problems,,problems_page_missing
2016,10B,2016_AMC_10B,https://artofproblemsolving.com/wiki/index.php/2016_AMC_10B_Problems,,problems_page_missing
2017,10,2017_AMC_10,https://artofproblemsolving.com/wiki/index.php/2017_AMC_10_Problems,,problems_page_missing
2017,10A,2017_AMC_10A,https://artofproblemsolving.com/wiki/index.php/2017_AMC_10A_Problems,,problems_page_missing
2017,10B,2017_AMC_10B,https://artofproblemsolving.com/wiki/index.php/2017_AMC_10B_Problems,,problems_page_missing
2018,10,2018_AMC_10,https://artofproblemsolving.com/wiki/index.php/2018_AMC_10_Problems,,problems_page_missing
2018,10A,2018_AMC_10A,https://artofproblemsolving.com/wiki/index.php/2018_AMC_10A_Problems,,problems_page_missing
2018,10B,2018_AMC_10B,https://artofproblemsolving.com/wiki/index.php/2018_AMC_10B_Problems,,problems_page_missing
2019,10,2019_AMC_10,https://artofproblemsolving.com/wiki/index.php/2019_AMC_10_Problems,,problems_page_missing
2019,10A,2019_AMC_10A,https://artofproblemsolving.com/wiki/index.php/2019_AMC_10A_Problems,,problems_page_missing
2019,10B,2019_AMC_10B,https://artofproblemsolving.com/wiki/index.php/2019_AMC_10B_Problems,,problems_page_missing
2020,10,2020_AMC_10,https://artofproblemsolving.com/wiki/index.php/2020_AMC_10_Problems,,problems_page_missing
2020,10A,2020_AMC_10A,https://artofproblemsolving.com/wiki/index.php/2020_AMC_10A_Problems,,problems_page_missing
2020,10B,2020_AMC_10B,https://artofproblemsolving.com/wiki/index.php/2020_AMC_10B_Problems,,problems_page_missing
2021,10,2021_AMC_10,https://artofproblemsolving.com/wiki/index.php/2021_AMC_10_Problems,,problems_page_missing
2021,10A,2021_AMC_10A,https://artofproblemsolving.com/wiki/index.php/2021_AMC_10A_Problems,,problems_page_missing
2021,10B,2021_AMC_10B,https://artofproblemsolving.com/wiki/index.php/2021_AMC_10B_Problems,,problems_page_missing
2022,10,2022_AMC_10,https://artofproblemsolving.com/wiki/index.php/2022_AMC_10_Problems,,problems_page_missing
2022,10A,2022_AMC_10A,https://artofproblemsolving.com/wiki/index.php/2022_AMC_10A_Problems,,problems_page_missing
2022,10B,2022_AMC_10B,https://artofproblemsolving.com/wiki/index.php/2022_AMC_10B_Problems,,problems_page_missing
2023,10,2023_AMC_10,https://artofproblemsolving.com/wiki/index.php/2023_AMC_10_Problems,,problems_page_missing
2023,10A,2023_AMC_10A,https://artofproblemsolving.com/wiki/index.php/2023_AMC_10A_Problems,,problems_page_missing
2023,10B,2023_AMC_10B,https://artofproblemsolving.com/wiki/index.php/2023_AMC_10B_Problems,,problems_page_missing
2024,10,2024_AMC_10,https://artofproblemsolving.com/wiki/index.php/2024_AMC_10_Problems,,problems_page_missing
2024,10A,2024_AMC_10A,https://artofproblemsolving.com/wiki/index.php/2024_AMC_10A_Problems,,problems_page_missing
2024,10B,2024_AMC_10B,https://artofproblemsolving.com/wiki/index.php/2024_AMC_10B_Problems,,problems_page_missing
