Server Title,Memory,Storage,Bandwidth,OS,Location,Initial Price,Final Price,Discount,Timestamp
X-Gene Octa-Core ARM v8 64-bit,32 GB,SATA-SSD 120 GB,300 Mbps Unmetered,Ubuntu 18.04,"San Francisco, US",28.59,19.43,-32.07%,2025-06-19 18:35:53
"Intel Atom C2750 Processor, 8 core 2.4 GHz",8 GB,SATA 500 GB,100 Mbps Unmetered,AlmaLinux 9,"Bucharest, EU",31.18,21.04,-32.58%,2025-06-19 18:35:53
"Intel Atom C2750 Processor, 8 core 2.4 GHz",32 GB,SATA-SSD 960 GB,100 Mbps Unmetered,AlmaLinux 9,"New York, US",62.58,42.09,-32.75%,2025-06-19 18:35:53
Intel Xeon E5-2630L v3 Octo Core 1.80 GHz,48 GB,SATA-SSD 960 GB,1 Gbps Unmetered,Ubuntu 24.04,"Bucharest, EU",108.04,55.02,-49.08%,2025-06-19 18:35:53
Intel Xeon D-1587 Hexadeca Core 1.70 GHz,16 GB,NVMe-SSD 240 GB,1 Gbps Unmetered,Ubuntu 24.04,"Miami, US",90.73,55.02,-39.37%,2025-06-19 18:35:53
2 x Intel Xeon E5-2620 v3 Hex Core 2.40 GHz,32 GB,2 x SAS 146 GB,1 Gbps Unmetered,Ubuntu 24.04,"Bucharest, EU",90.91,64.72,-29.64%,2025-06-19 18:35:53
Intel Xeon E5-2650L Octo Core 1.80 GHz,64 GB,2 x SATA-SSD 960 GB,300 Mbps Unmetered,Ubuntu 24.04,"Miami, US",112.31,65.77,-46.27%,2025-06-19 18:35:53
Intel Xeon E5-2650L v3 Dodeca Core 1.80 GHz,32 GB,2 x SAS 300 GB,1 Gbps Unmetered,Ubuntu 24.04,"Bucharest, EU",97.67,69.59,-29.7%,2025-06-19 18:35:53
2 x Intel Xeon E5-2630L v3 Octo Core 1.80 GHz,32 GB,2 x SATA-SSD 240 GB,1 Gbps Unmetered,Ubuntu 24.04,"San Francisco, US",106.18,69.59,-36.61%,2025-06-19 18:35:53
2 x Intel Xeon Silver 4110 8 Core 2.10 GHz,64 GB,2 x SAS 300 GB,1 Gbps Unmetered,Ubuntu 24.04,"Bucharest, EU",145.19,72.82,-50.59%,2025-06-19 18:35:53
Intel Xeon Silver 4110 8 Core 2.10 GHz,32 GB,SATA-SSD 256 GB,1 Gbps Unmetered,Ubuntu 24.04,"Bucharest, EU",124.17,74.45,-40.05%,2025-06-19 18:35:53
2 x Intel Xeon E5-2630L v3 Octo Core 1.80 GHz,32 GB,2 x SATA-SSD 240 GB,1 Gbps Unmetered,Ubuntu 24.04,"San Francisco, US",106.76,76.06,-30.73%,2025-06-19 18:35:53
Intel Xeon E5-2650L v3 Dodeca Core 1.80 GHz,64 GB,2 x SATA-SSD 240 GB,1 Gbps Unmetered,Ubuntu 24.04,"Amsterdam, EU",120.31,80.91,-34.6%,2025-06-19 18:35:53
2 x Intel Xeon E5-2630L v3 Octo Core 1.80 GHz,64 GB,SATA-SSD 960 GB,1 Gbps Unmetered,Ubuntu 24.04,"Amsterdam, EU",125.91,87.38,-30.61%,2025-06-19 18:35:53
4 x Intel Xeon E5-4650L Octo Core 2.60 GHz,64 GB,2 x SATA-SSD 256 GB,300 Mbps Unmetered,Ubuntu 24.04,"New York, US",147.81,88.98,-41.41%,2025-06-19 18:35:53
2 x Intel Xeon E5-2660 v2 Deca Core 2.20 GHz,80 GB,2 x SATA-SSD 240 GB,300 Mbps Unmetered,Ubuntu 24.04,"Miami, US",123.47,90.60,-28.24%,2025-06-19 18:35:53
2 x Intel Xeon E5-2650L Octo Core 1.80 GHz,128 GB,2 x SATA-SSD 240 GB,300 Mbps Unmetered,Ubuntu 24.04,"New York, US",130.88,95.45,-28.6%,2025-06-19 18:35:53
2 x Intel Xeon Gold 6130 16 Core 2.10 GHz,64 GB,2 x SATA-SSD 240 GB,1 Gbps Unmetered,Ubuntu 24.04,"Miami, US",183.60,97.08,-48.46%,2025-06-19 18:35:53
Intel Xeon Gold 6130 16 Core 2.10 GHz,32 GB,2 x SATA-SSD 960 GB,1 Gbps Unmetered,Ubuntu 24.04,"Bucharest, EU",177.80,100.33,-46.63%,2025-06-19 18:35:53
2 x Intel Xeon Gold 6130 16 Core 2.10 GHz,64 GB,2 x SATA-SSD 480 GB,1 Gbps Unmetered,Ubuntu 24.04,"San Francisco, US",193.86,106.81,-47.02%,2025-06-19 18:35:53
2 x Intel Xeon Gold 6130 16 Core 2.10 GHz,64 GB,2 x SATA-SSD 256 GB,1 Gbps Unmetered,Ubuntu 24.04,"Bucharest, EU",184.27,110.03,-41.58%,2025-06-19 18:35:53
4 x Intel Xeon E5-4620 v2 Octo Core @ 2.60GHz,64 GB,2 x SAS 1 TB,300 Mbps Unmetered,Ubuntu 24.04,"Bucharest, EU",181.13,121.36,-34.22%,2025-06-19 18:35:53
2 x Intel Xeon Gold 6130 16 Core 2.10 GHz,128 GB,2 x SATA-SSD 960 GB,1 Gbps Unmetered,Ubuntu 24.04,"Amsterdam, EU",232.10,140.79,-41.63%,2025-06-19 18:35:53
2 x Intel Xeon Gold 6126 12 Core 2.60 GHz,256 GB,2 x SATA-SSD 480 GB,1 Gbps Unmetered,AlmaLinux 9,"New York, US",274.83,142.40,-49.68%,2025-06-19 18:35:53
2 x Intel Xeon Gold 6130 16 Core 2.10 GHz,64 GB,2 x SATA-SSD 960 GB,1 Gbps Unmetered,Ubuntu 24.04,"Bucharest, EU",205.27,143.24,-32.56%,2025-06-19 18:35:53
2 x Intel Xeon Gold 6130 16 Core 2.10 GHz,64 GB,2 x SATA-SSD 960 GB,1 Gbps Unmetered,Ubuntu 24.04,"Amsterdam, EU",205.36,144.02,-32.19%,2025-06-19 18:35:53
2 x Intel Xeon Gold 6130 16 Core 2.10 GHz,64 GB,2 x SATA-SSD 960 GB,1 Gbps Unmetered,Ubuntu 24.04,"Bucharest, EU",206.25,152.77,-28.08%,2025-06-19 18:35:53
4 x Intel Xeon E5-4620 v2 Octo Core @ 2.60GHz,128 GB,2 x SATA-SSD 480 GB,300 Mbps Unmetered,Ubuntu 24.04,"New York, US",224.01,156.98,-31.94%,2025-06-19 18:35:53
2 x Intel Xeon Gold 6130 16 Core 2.10 GHz,256 GB,2 x SATA-SSD 480 GB,1 Gbps Unmetered,Ubuntu 24.04,"San Francisco, US",280.88,163.44,-43.25%,2025-06-19 18:35:53
2 x Intel Xeon Gold 5122 4 Core 3.60GHz,64 GB,2 x SATA-SSD 480 GB,1 Gbps Unmetered,Ubuntu 24.04,"Bucharest, EU",261.69,171.53,-35.9%,2025-06-19 18:35:53
"Intel Atom C2750 Processor, 8 core 2.4 GHz",8 GB,SATA 500 GB,100 Mbps Unmetered,AlmaLinux 9,"Bucharest, EU",31.20,17.81,-42.94%,2025-06-23 02:28:24
"Intel Atom C2750 Processor, 8 core 2.4 GHz",8 GB,SATA 500 GB,100 Mbps Unmetered,AlmaLinux 9,"Bucharest, EU",31.18,21.04,-32.58%,2025-06-23 02:28:24
"Intel Atom C2750 Processor, 8 core 2.4 GHz",32 GB,SATA-SSD 960 GB,100 Mbps Unmetered,AlmaLinux 9,"New York, US",62.58,42.09,-32.75%,2025-06-23 02:28:24
Intel Xeon E5-2630L v3 Octo Core 1.80 GHz,48 GB,SATA-SSD 960 GB,1 Gbps Unmetered,Ubuntu 24.04,"Bucharest, EU",108.04,55.02,-49.08%,2025-06-23 02:28:24
Intel Xeon E5-2650L Octo Core 1.80 GHz,32 GB,SAS 1 TB,300 Mbps Unmetered,AlmaLinux 9,"Bucharest, EU",76.42,55.02,-28.03%,2025-06-23 02:28:24
2 x Intel Xeon E5-2620 v3 Hex Core 2.40 GHz,32 GB,2 x SAS 146 GB,1 Gbps Unmetered,Ubuntu 24.04,"Bucharest, EU",90.91,64.72,-29.64%,2025-06-23 02:28:24
Intel Xeon E5-2650L Octo Core 1.80 GHz,64 GB,2 x SATA-SSD 960 GB,300 Mbps Unmetered,Ubuntu 24.04,"Miami, US",112.31,65.77,-46.27%,2025-06-23 02:28:24
Intel Xeon D-1587 Hexadeca Core 1.70 GHz,16 GB,NVMe-SSD 240 GB,1 Gbps Unmetered,Ubuntu 24.04,"Miami, US",90.72,66.34,-26.88%,2025-06-23 02:28:24
2 x Intel Xeon E5-2630L v3 Octo Core 1.80 GHz,64 GB,SATA-SSD 960 GB,1 Gbps Unmetered,Ubuntu 24.04,"Amsterdam, EU",125.91,66.35,-47.31%,2025-06-23 02:28:24
Intel Xeon E5-2650L v3 Dodeca Core 1.80 GHz,32 GB,2 x SAS 300 GB,1 Gbps Unmetered,Ubuntu 24.04,"Bucharest, EU",97.67,69.59,-29.7%,2025-06-23 02:28:24
2 x Intel Xeon E5-2630L v3 Octo Core 1.80 GHz,32 GB,2 x SATA-SSD 240 GB,1 Gbps Unmetered,Ubuntu 24.04,"San Francisco, US",106.18,69.59,-36.61%,2025-06-23 02:28:24
2 x Intel Xeon Silver 4110 8 Core 2.10 GHz,64 GB,2 x SAS 300 GB,1 Gbps Unmetered,Ubuntu 24.04,"Bucharest, EU",145.19,72.82,-50.59%,2025-06-23 02:28:24
Intel Xeon Silver 4110 8 Core 2.10 GHz,32 GB,SATA-SSD 256 GB,1 Gbps Unmetered,Ubuntu 24.04,"Bucharest, EU",124.17,74.45,-40.05%,2025-06-23 02:28:24
2 x Intel Xeon E5-2630L v3 Octo Core 1.80 GHz,32 GB,2 x SATA-SSD 240 GB,1 Gbps Unmetered,Ubuntu 24.04,"San Francisco, US",106.76,76.06,-30.73%,2025-06-23 02:28:24
Intel Xeon E5-2650L v3 Dodeca Core 1.80 GHz,64 GB,2 x SATA-SSD 240 GB,1 Gbps Unmetered,Ubuntu 24.04,"Amsterdam, EU",120.31,80.91,-34.6%,2025-06-23 02:28:24
2 x Intel Xeon E5-2650L Octo Core 1.80 GHz,128 GB,2 x SATA-SSD 240 GB,300 Mbps Unmetered,Ubuntu 24.04,"New York, US",130.20,85.97,-35.71%,2025-06-23 02:28:24
4 x Intel Xeon E5-4650L Octo Core 2.60 GHz,64 GB,2 x SATA-SSD 256 GB,300 Mbps Unmetered,Ubuntu 24.04,"New York, US",147.81,88.98,-41.41%,2025-06-23 02:28:24
2 x Intel Xeon E5-2660 v2 Deca Core 2.20 GHz,80 GB,2 x SATA-SSD 240 GB,300 Mbps Unmetered,Ubuntu 24.04,"Miami, US",123.47,90.60,-28.24%,2025-06-23 02:28:24
2 x Intel Xeon E5-2650L v2 Deca Core 1.70 GHz,128 GB,2 x SATA-SSD 480 GB,300 Mbps Unmetered,Ubuntu 24.04,"New York, US",146.05,95.49,-37.24%,2025-06-23 02:28:24
Intel Xeon E5-2630L v3 Octo Core 1.80 GHz,32 GB,2 x SAS-SSD 3.84 TB,1 Gbps Unmetered,Ubuntu 24.04,"Bucharest, EU",162.37,98.72,-47.58%,2025-06-23 02:28:24
Intel Xeon Gold 6130 16 Core 2.10 GHz,32 GB,2 x SATA-SSD 960 GB,1 Gbps Unmetered,Ubuntu 24.04,"Bucharest, EU",177.80,100.33,-46.63%,2025-06-23 02:28:24
2 x Intel Xeon Gold 6130 16 Core 2.10 GHz,64 GB,2 x SATA-SSD 480 GB,1 Gbps Unmetered,Ubuntu 24.04,"San Francisco, US",193.86,106.81,-47.02%,2025-06-23 02:28:24
2 x Intel Xeon Gold 6130 16 Core 2.10 GHz,64 GB,2 x SATA-SSD 256 GB,1 Gbps Unmetered,Ubuntu 24.04,"Bucharest, EU",184.27,110.03,-41.58%,2025-06-23 02:28:24
Intel Xeon Gold 6126 12 Core 2.60 GHz,32 GB,SATA-SSD 480 GB,1 Gbps Unmetered,Ubuntu 24.04,"Bucharest, EU",155.77,110.05,-29.37%,2025-06-23 02:28:24
2 x Intel Xeon Gold 6130 16 Core 2.10 GHz,64 GB,SATA-SSD 240 GB,1 Gbps Unmetered,Ubuntu 24.04,"Bucharest, EU",178.56,119.75,-32.95%,2025-06-23 02:28:24
4 x Intel Xeon E5-4620 v2 Octo Core @ 2.60GHz,64 GB,2 x SAS 1 TB,300 Mbps Unmetered,Ubuntu 24.04,"Bucharest, EU",181.13,121.36,-34.22%,2025-06-23 02:28:24
2 x Intel Xeon Gold 6130 16 Core 2.10 GHz,128 GB,2 x SATA-SSD 960 GB,1 Gbps Unmetered,Ubuntu 24.04,"Amsterdam, EU",232.10,140.79,-41.63%,2025-06-23 02:28:24
2 x Intel Xeon Gold 6126 12 Core 2.60 GHz,256 GB,2 x SATA-SSD 480 GB,1 Gbps Unmetered,AlmaLinux 9,"New York, US",274.83,142.40,-49.68%,2025-06-23 02:28:24
2 x Intel Xeon Gold 6130 16 Core 2.10 GHz,64 GB,2 x SATA-SSD 960 GB,1 Gbps Unmetered,Ubuntu 24.04,"Amsterdam, EU",205.36,144.02,-32.19%,2025-06-23 02:28:24
2 x Intel Xeon Gold 6130 16 Core 2.10 GHz,64 GB,2 x SATA-SSD 960 GB,1 Gbps Unmetered,Ubuntu 24.04,"Bucharest, EU",206.25,152.77,-28.08%,2025-06-23 02:28:24
2 x Intel Xeon Gold 5122 4 Core 3.60GHz,64 GB,2 x SATA-SSD 480 GB,1 Gbps Unmetered,Ubuntu 24.04,"Bucharest, EU",261.69,171.53,-35.9%,2025-06-23 02:28:24
"Intel Atom C2750 Processor, 8 core 2.4 GHz",8 GB,SATA 500 GB,100 Mbps Unmetered,AlmaLinux 9,"Bucharest, EU",31.18,21.04,-32.58%,2025-06-24 13:05:30
